ROI ID,ROI Name,ROI Comment
ROI 1,ROI 1,H5097_633_tumor
ROI 2,ROI 2,H5097_633_tumor
ROI 3,ROI 3,H4272_664_lung
ROI 4,ROI 4,H4272_664_lung
ROI 5,ROI 5,HCI005_657_tumor
ROI 6,ROI 6,HCI005_657_tumor
ROI 7,ROI 7,HCI010_502_tumor
ROI 8,ROI 8,HCI010_502_tumor
ROI 9,ROI 9,H4272_664_tumor
ROI 10,ROI 10,H4272_664_tumor
ROI 11,ROI 11,H4272_664_tumor
ROI 12,ROI 12,HCI005_657_lung
ROI 13,ROI 13,HCI005_657_lung
ROI 14,ROI 14,HCI005_657_lung
ROI 15,ROI 15,H5097_633_lung
ROI 16,ROI 16,H5097_633_lung
ROI 17,ROI 17,H5097_633_lung
ROI 18,ROI 18,H5097_633_lung
